,Scenario,Period,BA,CAT,KO,DIS,JPM,MMM,MSFT,PFE,WMT,XOM,5Y,10Y,15Y,20Y,30Y,b1,b2,b3
174,1,174,650.8315385588753,290.8196135429811,109.11051171019668,287.72183309758384,272.90114998833025,344.09136997121385,314.4715606183325,75.82573805181882,238.75288310518891,132.89276937757842,153.5110910002723,153.5110910002723,153.5110910002723,153.5110910002723,153.5110910002723,0.02,0.0,0.0
175,1,175,653.4831068092666,292.004448647268,109.55504144100124,288.8940474608816,274.01298305408267,345.4932408053617,315.75275668272866,76.13466149462843,239.72559190466242,133.4341909699745,153.8896907637196,153.8896907637196,153.8896907637196,153.8896907637196,153.8896907637196,0.02,0.0,0.0
176,1,176,656.1454778769306,293.194110916433,110.00138224095461,290.07103757059645,275.12934586537176,346.9008230348166,317.0391724984823,76.44484352978371,240.70226364019038,133.97781838095716,154.26922425631932,154.26922425631932,154.26922425631932,154.26922425631932,154.26922425631932,0.02,0.0,0.0
177,1,177,658.8186957738824,294.3886200169432,110.44954148857667,291.25282288371034,276.2502568769415,348.3141399285099,318.33082933150655,76.75628928494568,241.68291445726487,134.52366059730434,154.6496937808994,154.6496937808994,154.6496937808994,154.6496937808994,154.6496937808994,0.02,0.0,0.0
178,1,178,661.502804691447,295.5879956953897,110.89952659244834,292.43942293647564,277.3757346187228,349.7332148501737,319.62774853435457,77.06900390866606,242.66756056715667,135.07172664240727,155.03110164596725,155.03110164596725,155.03110164596725,155.03110164596725,155.03110164596725,0.02,0.0,0.0
179,1,179,664.1978490009903,296.7922577788132,111.35134499133397,293.6308573447375,278.50579769613984,351.1580712587266,320.92995154657234,77.38299257047245,243.65621824718323,135.62202557641953,155.41345016572365,155.41345016572365,155.41345016572365,155.41345016572365,155.41345016572365,0.02,0.0,0.0
180,1,180,666.9038732546535,298.0014261750326,111.8050041543044,294.82714580425875,279.6404647904177,352.58873270866184,322.23745989505335,77.6982604609537,244.6489038409779,136.174566496407,155.79674166007678,155.79674166007678,155.79674166007678,155.79674166007678,155.79674166007678,0.02,0.0,0.0
181,1,181,669.6209221860875,299.2155208729734,112.26051158086035,296.02830809104506,280.7797546588908,354.02522285043665,323.5502951943942,78.01481279184577,245.64563375875994,136.729358536498,156.1809784546564,156.1809784546564,156.1809784546564,156.1809784546564,156.1809784546564,0.02,0.0,0.0
182,1,182,672.3490407111943,300.4345619429987,112.71787480105647,297.23436406167195,281.9236861353135,355.46756543086303,324.8684791472522,78.33265479611791,246.64642447760588,137.28641086803455,156.56616288082793,156.56616288082793,156.56616288082793,156.56616288082793,156.56616288082793,0.02,0.0,0.0
183,1,183,675.088273928869,301.6585695372406,113.17710137562574,298.4453336536132,283.0722781301712,356.91578429350045,326.19203354470363,78.65179172805908,247.6512925417219,137.84573269972373,156.95229727570648,156.95229727570648,156.95229727570648,156.95229727570648,156.95229727570648,0.02,0.0,0.0
184,1,184,677.8386671217446,302.88756388993363,113.63819889610456,299.66123688557025,284.2255496309928,358.3699033790501,327.5209802666047,78.97222886336492,248.66025456271737,138.4073332777901,157.33938398217117,157.33938398217117,157.33938398217117,157.33938398217117,157.33938398217117,0.02,0.0,0.0
185,1,185,680.6002657569419,304.12156531774895,114.10117498495815,300.8820938578032,285.383519702665,359.82994672575046,328.85534128195275,79.29397149922488,249.6733272198794,138.9712218861285,157.72742534887928,157.72742534887928,157.72742534887928,157.72742534887928,157.72742534887928,0.02,0.0,0.0
186,1,186,683.3731154868196,305.36059422013034,114.5660372957066,302.10792475246325,286.5462074877469,361.2959384697748,330.1951386492493,79.61702495440981,250.69052726044856,139.53740784645743,158.1164237302805,158.1164237302805,158.1164237302805,158.1164237302805,158.1164237302805,0.02,0.0,0.0
187,1,187,686.1572621497302,306.60467107963154,115.03279351305136,303.3387498339259,287.71363220678694,362.76790284563,331.54039451686526,79.94139456935989,251.71187149989566,140.1059005184733,158.50638148663126,158.50638148663126,158.50638148663126,158.50638148663126,158.50638148663126,0.02,0.0,0.0
188,1,188,688.9527517707775,307.8538164622547,115.50145135300238,304.5745894491264,288.8858131586405,364.2458641865576,332.8911311234066,80.26708570627294,252.73737682220002,140.6767093000051,158.89730098400895,158.89730098400895,158.89730098400895,158.89730098400895,158.89730098400895,0.02,0.0,0.0
189,1,189,691.7596305625768,309.10805101779056,115.97201856300556,305.81546402789604,290.0627697207887,365.7298469249356,334.24737079808204,80.594103749193,253.76706018012825,141.24984362716964,159.28918459432643,159.28918459432643,159.28918459432643,159.28918459432643,159.28918459432643,0.02,0.0,0.0
190,1,190,694.5779449260197,310.36739548015936,116.44450292207082,307.06139408329955,291.2445213496591,367.21987559268257,335.60913596107247,80.92245410409942,254.80093859551465,141.8253129745277,159.68203469534632,159.68203469534632,159.68203469534632,159.68203469534632,159.68203469534632,0.02,0.0,0.0
191,1,191,697.4077414510404,311.631870667754,116.91891224090074,308.31240021197453,292.431087580947,368.7159748216631,336.97644912390115,81.25214219899613,255.83902915954255,142.4031268552406,160.07585367069538,160.07585367069538,160.07585367069538,160.07585367069538,160.07585367069538,0.02,0.0,0.0
192,1,192,700.2490669173866,312.9014974837844,117.3952543620197,309.5685030944719,293.6224880299387,370.21816934409514,338.34933288980625,81.58317348400143,256.88134903302694,142.98329482122745,160.47064390987913,160.47064390987913,160.47064390987913,160.47064390987913,160.47064390987913,0.02,0.0,0.0
193,1,193,703.1019682953922,314.1762969166223,117.87353715990345,310.8297234955975,294.81874239183554,371.7264839929587,339.72780995411415,81.91555343143811,257.9279154466981,143.565826463323,160.86640780829617,160.86640780829617,160.86640780829617,160.86640780829617,160.86640780829617,0.02,0.0,0.0
